state,hectares,cost,cost_per_ha,source,,,state,AVERAGE of cost_per_ha
Nasarawa,1,"1,500,000.00","1,500,000.00",https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/nasarawa/karu/3191635-a-massive-5000-hectares-farmland-is-100-available,,,Cross River,"83,620,689.66"
Nasarawa,1,"5,000,000.00","5,000,000.00",https://nigeriapropertycentre.com/for-sale/land/commercial-land/nasarawa/karu/3183501-a-massive-20-hectares-farmland,,,Delta,"148,715,733.06"
Ogun,0.404686,"3,000,000.00","7,413,154.89",https://nigeriapropertycentre.com/for-sale/land/ogun/imeko-afon/3196106-plot-of-commercial-land,,,Edo,"32,138,590.20"
Ogun,0.3,"4,300,000.00","14,333,333.33",https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/ogun/ewekoro/3196496-premium-farmland-for-palm-oil-production,,,Nasarawa,"3,250,000.00"
Ogun,0.03,"500,000.00","16,666,666.67",https://propertylisthub.com/estate-property/a-cheap-landed-property-for-sale-at-abeokuta-phase-3/,,,Ogun,"12,804,384.96"
Delta,3.107,"350,000,000.00","112,648,857.42",https://nigeriapropertycentre.com/for-sale/land/industrial-land/delta/warri/2392250-3107-hectares-of-industrial-land,,,Ondo,"118,518,518.52"
Delta,4.6,"850,000,000.00","184,782,608.70",https://nigeriapropertycentre.com/for-sale/land/commercial-land/delta/warri/2336703-46-hectares-suitable-for-tank-farm-or-refinery,,,Grand Total,"65,323,626.01"
Edo,0.09,"2,500,000.00","27,777,777.78",https://propertypro.ng/,,,,
Edo,0.09,"2,500,000.00","27,777,777.78",https://propertypro.ng/,,,,
Edo,0.0465,"1,900,000.00","40,860,215.05",https://propertypro.ng/,,,,
Cross River,0.0464,"4,000,000.00","86,206,896.55",https://propertypro.ng/,,,,
Cross River,0.03,"3,000,000.00","100,000,000.00",https://propertypro.ng/,,,,
Cross River,0.0464,"3,000,000.00","64,655,172.41",https://propertypro.ng/,,,,
Ondo,0.108,"14,000,000.00","129,629,629.63",https://propertypro.ng/,,,,
Ondo,0.054,"5,000,000.00","92,592,592.59",https://propertypro.ng/,,,,
Ondo,0.06,"8,000,000.00","133,333,333.33",https://propertypro.ng/,,,,
